# TIME      VALUE    FILTERED
#-------------------------------
10       -108.5       -108.5
10.1       -108.5       -108.5
10.2       -108.5       -108.5
10.3       -108.5       -108.5
10.4       -108.5       -108.5
10.5       -110.5       -108.5
10.6       -108.5       -108.5
10.7       -108.5       -108.5
10.8       -108.5       -108.5
10.9       -108.5       -108.5
11       -108.5       -108.5
11.1       -108.55       -108.55
11.2       -108.6       -108.6
11.3       -108.6       -108.6
11.4       -108.6       -108.6
11.5       -108.6       -108.6
11.6       -108.6       -108.6
11.7       -108.6       -108.6
11.8       -108.6       -108.6
11.9       -108.6       -108.6
12       -108.6       -108.6
12.1       -108.65       -108.65
12.2       -108.7       -108.7
12.3       -108.7       -108.7
12.4       -110       -108.7
12.5       -108.7       -108.7
12.6       -108.7       -108.7
12.7       -108.7       -108.7
12.8       -108.7       -108.7
12.9       -108.7       -108.7
13       -108.7       -108.7
13.1       -108.7       -108.7
13.2       -108.7       -108.7
13.3       -108.7       -108.7
13.4       -108.7       -108.7
13.5       -108.7       -108.7
13.6       -108.7       -108.7
13.7       -108.7       -108.7
13.8       -108.7       -108.7
13.9       -108.7       -108.7
14       -108.7       -108.7
14.1       -108.65       -108.65
14.2       -108.6       -108.6
14.3       -108.6       -108.6
14.4       -108.6       -108.6
14.5       -108.6       -108.6
14.6       -108.6       -108.6
14.7       -108.6       -108.6
14.8       -108.6       -108.6
14.9       -108.6       -108.6
15       -108.6       -108.6
15.1       -108.55       -108.55
15.2       -108.5       -108.5
15.3       -108.5       -108.5
15.4       -108.45       -108.45
15.5       -108.4       -108.4
15.6       -108.4       -108.4
15.7       -108.4       -108.4
15.8       -108.4       -108.4
15.9       -108.4       -108.4
16       -108.4       -108.4
16.1       -108.4       -108.4
16.2       -108.4       -108.4
16.3       -108.35       -108.35
16.4       -108.3       -108.3
16.5       -108.3       -108.3
16.6       -108.3       -108.3
16.7       -108.3       -108.3
16.8       -108.3       -108.3
16.9       -108.3       -108.3
17       -108.3       -108.3
17.1       -108.3       -108.3
17.2       -108.3       -108.3
17.3       -108.3       -108.3
17.4       -108.3       -108.3
17.5       -108.3       -108.3
17.6       -108.3       -108.3
17.7       -108.3       -108.3
17.8       -108.3       -108.3
17.9       -108.3       -108.3
18       -108.3       -108.3
18.1       -108.3       -108.3
18.2       -108.3       -108.3
18.3       -108.3       -108.3
18.4       -109.5       -108.3
18.5       -109.5       -108.3
18.6       -109.5       -108.3
18.7       -109.5       -108.3
18.8       -108.3       -108.3
18.9       -108.3       -108.3
19       -108.3       -108.3
19.1       -108.3       -108.3
19.2       -108.3       -108.3
19.3       -108.3       -108.3
19.4       -108.3       -108.3
19.5       -108.3       -108.3
19.6       -108.3       -108.3
19.7       -108.3       -108.3
19.8       -108.3       -108.3
19.9       -108.3       -108.3
