#
#                             DATA
#                                   
#
#
# TIME      VALUE    FILTERED 
#-------------------------------
0       1       1
0.01       1.62791       1.62791
0.02       2.25333       2.25333
0.03       2.87381       2.87381
0.04       3.4869       3.4869
0.05       4.09017       4.09017
0.06       4.68125       4.68125
0.07       5.25779       5.25779
0.08       5.81754       5.81754
0.09       6.35827       6.35827
0.1       6.87785       6.87785
0.11       7.37424       7.37424
0.12       39.2274       7.37424
0.13       8.28969       8.28969
0.14       8.70513       8.70513
0.15       9.09017       9.09017
0.16       9.44328       9.44328
0.17       9.76307       9.76307
0.18       10.0483       10.0483
0.19       10.2978       10.2978
0.2       10.5106       10.5106
0.21       10.6858       10.6858
0.22       10.8229       10.8229
0.23       54.6057       10.8229
0.24       10.9803       10.9803
0.25       11       11
0.26       10.9803       10.9803
0.27       10.9211       10.9211
0.28       10.8229       10.8229
0.29       10.6858       10.6858
0.3       10.5106       10.5106
0.31       10.2978       10.2978
0.32       10.0483       10.0483
0.33       9.76307       9.76307
0.34       9.44328       9.44328
0.35       9.09017       9.09017
0.36       8.70513       8.70513
0.37       8.28969       8.28969
0.38       7.84547       7.84547
0.39       7.37424       7.37424
0.4       6.87785       6.87785
0.41       6.35827       6.35827
0.42       5.81754       5.81754
0.43       5.25779       5.25779
0.44       23.4062       5.25779
0.45       4.09017       4.09017
0.46       3.4869       3.4869
0.47       2.87381       2.87381
0.48       2.25333       2.25333
0.49       1.62791       1.62791
0.5       1       1
0.51       0.372095       0.372095
0.52       -0.253332       -0.253332
0.53       -0.873813       -0.873813
0.54       -1.4869       -1.4869
0.55       -2.09017       -2.09017
0.56       -2.68125       -2.68125
0.57       -3.25779       -3.25779
0.58       -3.81754       -3.81754
0.59       -4.35827       -4.35827
0.6       -4.87785       -4.87785
0.61       -5.37424       -5.37424
0.62       -5.84547       -5.84547
0.63       -6.28969       -6.28969
0.64       -6.70513       -6.70513
0.65       -7.09017       -7.09017
0.66       -7.44328       -7.44328
0.67       -7.76307       -7.76307
0.68       -48.2896       -7.76307
0.69       -8.29776       -8.29776
0.7       -51.0634       -8.29776
0.71       -8.68583       -8.68583
0.72       -8.82287       -8.82287
0.73       -8.92115       -8.92115
0.74       -8.98027       -8.98027
0.75       -9       -9
0.76       -8.98027       -8.98027
0.77       -8.92115       -8.92115
0.78       -8.82287       -8.82287
0.79       -8.68583       -8.68583
0.8       -8.51057       -8.51057
0.81       -8.29776       -8.29776
0.82       -8.04827       -8.04827
0.83       -7.76307       -7.76307
0.84       -7.44328       -7.44328
0.85       -42.541       -7.44328
0.86       -6.70513       -6.70513
0.87       -6.28969       -6.28969
0.88       -17.5364       -17.5364
0.89       -5.37424       -5.37424
0.9       -4.87785       -4.87785
0.91       -4.35827       -4.35827
0.92       -11.4526       -11.4526
0.93       -3.25779       -3.25779
0.94       -2.68125       -2.68125
0.95       -12.541       -12.541
0.96       -1.4869       -1.4869
0.97       -0.873813       -0.873813
0.98       -0.253332       -0.253332
0.99       0.372095       0.372095
1       1       1
1.01       1.62791       1.62791
1.02       2.25333       2.25333
1.03       2.87381       2.87381
1.04       3.4869       3.4869
1.05       4.09017       4.09017
1.06       4.68125       4.68125
1.07       5.25779       5.25779
1.08       5.81754       5.81754
1.09       6.35827       6.35827
1.1       6.87785       6.87785
1.11       7.37424       7.37424
1.12       7.84547       7.84547
1.13       8.28969       8.28969
1.14       8.70513       8.70513
1.15       9.09017       9.09017
1.16       9.44328       9.44328
1.17       9.76307       9.76307
1.18       10.0483       10.0483
1.19       10.2978       10.2978
1.2       10.5106       10.5106
1.21       10.6858       10.6858
1.22       10.8229       10.8229
1.23       10.9211       10.9211
1.24       10.9803       10.9803
1.25       66       10.9803
1.26       10.9803       10.9803
1.27       10.9211       10.9211
1.28       10.8229       10.8229
1.29       10.6858       10.6858
1.3       10.5106       10.5106
1.31       10.2978       10.2978
1.32       10.0483       10.0483
1.33       9.76307       9.76307
1.34       9.44328       9.44328
1.35       9.09017       9.09017
1.36       8.70513       8.70513
1.37       8.28969       8.28969
1.38       7.84547       7.84547
1.39       7.37424       7.37424
1.4       6.87785       6.87785
1.41       6.35827       6.35827
